state,x,y
Acre,-326,90
Alagoas,336,74
Amapá,33,297
Amazonas,-229,185
Bahia,208,30
Ceará,268,177
Distrito Federal,117,-33
Espírito Santo,249,-114
Goiás,51,-56
Maranhão,147,177
Mato Grosso,-78,19
Mato Grosso do Sul,-29,-115
Minas Gerais,149,-99
Pará,15,171
Paraíba,335,120
Paraná,25,-205
Pernambuco,280,107
Piauí,203,115
Rio de Janeiro,192,-161
Rio Grande do Norte,326,153
Rio Grande do Sul,13,-295
Rondônia,-190,59
Roraima,-145,310
Santa Catarina,57,-250
São Paulo,69,-151
Sergipe,316,55
Tocantins,93,63